Date,Timestamp,Half,Team,Player,Event,Assist By,Highlight,Assist Highlight,Shot X,Shot Y,Assist X,Assist Y
2026-05-21,11:43,1H,B,Andres,Key Passes,,none,,,,,
2026-05-21,11:45,1H,B,Jake,Off Target,,none,,,,,
2026-05-21,11:54,1H,B,Andres,Interceptions,,none,,,,,
2026-05-21,12:10,1H,A,Lach2,Interceptions,,none,,,,,
2026-05-21,12:18,1H,B,Jake,Interceptions,,none,,,,,
2026-05-21,12:20,1H,A,James,Key Passes,,none,,,,,
2026-05-21,12:20,1H,A,Gio,Off Target,,none,,,,,
2026-05-21,12:28,1H,A,Lach2,Interceptions,,none,,,,,
2026-05-21,12:32,1H,A,Lach2,On Target,,none,,,,,
2026-05-21,12:33,1H,B,Alberto,GK Saves,,none,,,,,
2026-05-21,12:34,1H,A,James,On Target,,none,,,,,
2026-05-21,12:35,1H,B,Alberto,GK Saves,,none,,,,,
2026-05-21,12:45,1H,A,James,Interceptions,,none,,,,,
2026-05-21,13:52,1H,A,Lach2,Interceptions,,none,,,,,
2026-05-21,13:55,1H,A,Lach2,Key Passes,,none,,,,,
2026-05-21,13:57,1H,A,Gio,On Target,,none,,,,,
2026-05-21,13:57,1H,B,Lachlan,Blocks,,none,,,,,
2026-05-21,14:01,1H,B,Bailey,Tackles,,none,,,,,
2026-05-21,14:07,1H,A,Ines,Tackles,,none,,,,,
2026-05-21,13:57,1H,A,Richard,GK Removed,,,,,,,
2026-05-21,13:57,1H,A,James,GK On,,,,,,,
2026-05-21,14:10,1H,A,Ines,Key Passes,,none,,,,,
2026-05-21,14:12,1H,A,Richard,Off Target,,none,,,,,
2026-05-21,14:13,1H,B,Lachlan,Blocks,,none,,,,,
2026-05-21,14:34,1H,B,Andres,Key Passes,,none,,,,,
2026-05-21,14:37,1H,B,Jake,On Target,,none,,,,,
2026-05-21,14:37,1H,A,Lach2,Blocks,,none,,,,,
2026-05-21,14:42,1H,A,Gio,Nutmegs,,none,,,,,
2026-05-21,14:47,1H,B,Bailey,Interceptions,,none,,,,,
2026-05-21,14:55,1H,A,Richard,Tackles,,none,,,,,
2026-05-21,14:57,1H,B,Andres,Tackles,,none,,,,,
2026-05-21,15:01,1H,A,Lach2,Tackles,,none,,,,,
2026-05-21,15:10,1H,A,Richard,Nutmegs,,none,,,,,
2026-05-21,15:10,1H,A,Richard,Tackles,,none,,,,,
2026-05-21,15:13,1H,B,Lachlan,Interceptions,,none,,,,,
2026-05-21,15:17,1H,B,Jake,Tackles,,none,,,,,
2026-05-21,15:21,1H,B,Andres,Key Passes,,none,,,,,
2026-05-21,15:23,1H,B,Bailey,Off Target,,none,,,,,
2026-05-21,15:23,1H,B,Bailey,Nutmegs,,none,,,,,
2026-05-21,15:25,1H,B,Jake,Off Target,,none,,,,,
2026-05-21,15:50,1H,B,Andres,Tackles,,none,,,,,
2026-05-21,16:01,1H,A,Lach2,Interceptions,,none,,,,,
2026-05-21,16:01,1H,A,Lach2,Tackles,,none,,,,,
2026-05-21,16:02,1H,A,Lach2,Off Target,,none,,,,,
2026-05-21,16:17,1H,A,Richard,Tackles,,none,,,,,
2026-05-21,16:17,1H,B,Bailey,Interceptions,,none,,,,,
2026-05-21,16:18,1H,B,Lachlan,Goals,,none,none,0.864,0.26,,
2026-05-21,16:20,1H,B,Lachlan,Nutmegs,,none,,,,,
2026-05-21,16:35,1H,A,Ines,Off Target,,none,,,,,
2026-05-21,16:36,1H,B,Andres,Blocks,,none,,,,,
2026-05-21,16:37,1H,B,Alberto,GK Saves,,none,,,,,
2026-05-21,16:49,1H,A,Lach2,Interceptions,,none,,,,,
2026-05-21,16:46,1H,A,Richard,Interceptions,,none,,,,,
2026-05-21,16:56,1H,B,Jake,Tackles,,none,,,,,
2026-05-21,16:57,1H,A,Gio,Tackles,,none,,,,,
2026-05-21,16:58,1H,A,Gio,On Target,,none,,,,,
2026-05-21,16:58,1H,A,Gio,Goals,,highlight,none,0.607,0.716,,
2026-05-21,17:20,1H,A,Gio,Interceptions,,none,,,,,
2026-05-21,17:22,1H,B,Bailey,Key Passes,,none,,,,,
2026-05-21,17:23,1H,B,Andres,On Target,,none,,,,,
2026-05-21,17:24,1H,A,James,GK Saves,,none,,,,,
2026-05-21,17:27,1H,B,Lachlan,Key Passes,,none,,,,,
2026-05-21,17:29,1H,B,Jake,Off Target,,none,,,,,
2026-05-21,17:40,1H,B,Andres,Interceptions,,none,,,,,
2026-05-21,17:42,1H,B,Bailey,Interceptions,,none,,,,,
2026-05-21,17:55,1H,B,Lachlan,Interceptions,,none,,,,,
2026-05-21,18:04,1H,A,Lach2,Interceptions,,none,,,,,
2026-05-21,18:06,1H,A,Lach2,On Target,,none,,,,,
2026-05-21,18:06,1H,B,Alberto,GK Saves,,none,,,,,
2026-05-21,18:09,1H,A,Lach2,Off Target,,none,,,,,
2026-05-21,18:09,1H,B,Alberto,GK Saves,,none,,,,,
2026-05-21,18:16,1H,A,Lach2,On Target,,none,,,,,
2026-05-21,18:16,1H,A,Lach2,Nutmegs,,none,,,,,
2026-05-21,18:16,1H,A,Lach2,Goals,,none,none,0.828,0.531,,
2026-05-21,18:34,1H,A,Richard,Interceptions,,none,,,,,
2026-05-21,18:36,1H,A,Richard,On Target,,none,,,,,
2026-05-21,18:36,1H,B,Alberto,GK Saves,,none,,,,,
2026-05-21,18:39,1H,B,Bailey,Interceptions,,none,,,,,
2026-05-21,18:41,1H,A,Lach2,Interceptions,,none,,,,,
2026-05-21,18:42,1H,A,Lach2,Off Target,,none,,,,,
2026-05-21,18:46,1H,A,Ines,Key Passes,,none,,,,,
2026-05-21,18:47,1H,A,Gio,Off Target,,none,,,,,
2026-05-21,18:53,1H,B,Jake,On Target,,none,,,,,
2026-05-21,18:54,1H,A,Richard,Blocks,,none,,,,,
2026-05-21,19:03,1H,B,Bailey,Key Passes,,none,,,,,
2026-05-21,19:05,1H,B,Jake,On Target,,none,,,,,
2026-05-21,19:05,1H,A,James,GK Saves,,none,,,,,
2026-05-21,19:07,1H,A,Ines,Interceptions,,none,,,,,
2026-05-21,19:13,1H,A,Gio,Goals,Lach2,none,none,0.803,0.645,0.623,0.122
2026-05-21,19:31,1H,B,Alberto,GK Removed,,,,,,,
2026-05-21,19:31,1H,B,Andres,GK On,,,,,,,
2026-05-21,19:38,1H,B,Lachlan,Key Passes,,none,,,,,
2026-05-21,19:38,1H,B,Jake,On Target,,none,,,,,
2026-05-21,19:39,1H,A,James,GK Saves,,none,,,,,
2026-05-21,19:51,1H,B,Jake,Interceptions,,none,,,,,
2026-05-21,19:54,1H,B,Alberto,Tackles,,none,,,,,
2026-05-21,19:58,1H,A,Richard,Interceptions,,none,,,,,
2026-05-21,20:06,1H,B,Alberto,Interceptions,,none,,,,,
2026-05-21,20:08,1H,A,Lach2,On Target,,none,,,,,
2026-05-21,20:08,1H,A,Lach2,Goals,,highlight,none,0.734,0.452,,
2026-05-21,20:31,1H,A,Lach2,Tackles,,none,,,,,
2026-05-21,20:33,1H,A,Richard,Interceptions,,none,,,,,
2026-05-21,20:15,1H,A,James,GK Removed,,,,,,,
2026-05-21,20:15,1H,A,Ines,GK On,,,,,,,
2026-05-21,20:51,1H,B,Lachlan,Interceptions,,none,,,,,
2026-05-21,20:56,1H,A,Richard,Interceptions,,none,,,,,
2026-05-21,20:59,1H,A,Richard,Key Passes,,none,,,,,
2026-05-21,20:59,1H,A,Gio,Off Target,,none,,,,,
2026-05-21,20:59,1H,B,Alberto,Blocks,,none,,,,,
2026-05-21,21:01,1H,A,Gio,Key Passes,,none,,,,,
2026-05-21,21:02,1H,A,Richard,Off Target,,none,,,,,
2026-05-21,21:33,1H,B,Bailey,Off Target,,none,,,,,
2026-05-21,21:31,1H,B,Lachlan,Off Target,,none,,,,,
2026-05-21,21:31,1H,A,Richard,Blocks,,none,,,,,
2026-05-21,21:52,1H,A,James,Interceptions,,none,,,,,
2026-05-21,21:55,1H,B,Jake,Interceptions,,none,,,,,
2026-05-21,21:55,1H,B,Lachlan,Interceptions,,none,,,,,
2026-05-21,21:59,1H,B,Lachlan,Key Passes,,none,,,,,
2026-05-21,21:59,1H,B,Bailey,On Target,,none,,,,,
2026-05-21,21:59,1H,B,Bailey,Nutmegs,,none,,,,,
2026-05-21,22:00,1H,A,Ines,GK Saves,,none,,,,,
2026-05-21,22:23,1H,B,Jake,Tackles,,none,,,,,
2026-05-21,22:34,1H,A,Lach2,Interceptions,,none,,,,,
2026-05-21,22:37,1H,A,Lach2,Goals,,none,none,0.636,0.602,,
2026-05-21,22:55,1H,A,Lach2,Interceptions,,none,,,,,
2026-05-21,23:11,1H,B,Lachlan,Interceptions,,none,,,,,
2026-05-21,23:16,1H,A,James,Key Passes,,none,,,,,
2026-05-21,23:17,1H,A,Ines,On Target,,none,,,,,
2026-05-21,23:18,1H,B,Andres,GK Saves,,none,,,,,
2026-05-21,23:21,1H,B,Jake,Interceptions,,none,,,,,
2026-05-21,22:12,1H,A,Ines,GK Removed,,,,,,,
2026-05-21,22:12,1H,A,Richard,GK On,,,,,,,
2026-05-21,23:27,1H,A,Gio,Interceptions,,none,,,,,
2026-05-21,23:33,1H,A,Gio,Nutmegs,,none,,,,,
2026-05-21,23:30,1H,B,Jake,Nutmegs,,none,,,,,
2026-05-21,23:45,1H,A,Lach2,Key Passes,,none,,,,,
2026-05-21,23:48,1H,A,James,On Target,,none,,,,,
2026-05-21,23:48,1H,B,Lachlan,Blocks,,none,,,,,
2026-05-21,23:51,1H,A,Lach2,Interceptions,,none,,,,,
2026-05-21,23:55,1H,A,James,Key Passes,,none,,,,,
2026-05-21,23:55,1H,A,Lach2,On Target,,none,,,,,
2026-05-21,23:56,1H,B,Andres,GK Saves,,none,,,,,
2026-05-21,24:08:00,1H,B,Jake,Off Target,,none,,,,,
2026-05-21,24:21:00,1H,B,Lachlan,Interceptions,,none,,,,,
2026-05-21,24:23:00,1H,B,Lachlan,Nutmegs,,none,,,,,
2026-05-21,24:33:00,1H,B,Lachlan,Interceptions,,none,,,,,
2026-05-21,24:42:00,1H,B,Andres,Key Passes,,none,,,,,
2026-05-21,24:42:00,1H,B,Bailey,Off Target,,none,,,,,
2026-05-21,24:44:00,1H,B,Jake,Off Target,,none,,,,,
2026-05-21,24:50:00,1H,B,Alberto,Interceptions,,none,,,,,
2026-05-21,25:07:00,1H,A,Gio,Tackles,,none,,,,,
2026-05-21,25:13:00,1H,B,Alberto,Interceptions,,none,,,,,
2026-05-21,25:19:00,1H,B,Lachlan,Interceptions,,none,,,,,
2026-05-21,25:23:00,1H,B,Alberto,Key Passes,,none,,,,,
2026-05-21,25:24:00,1H,B,Jake,On Target,,none,,,,,
2026-05-21,25:25:00,1H,A,Richard,GK Saves,,highlight,,,,,
2026-05-21,25:36:00,1H,B,Lachlan,Interceptions,,none,,,,,
2026-05-21,25:38:00,1H,A,Lach2,Tackles,,none,,,,,
2026-05-21,25:45:00,1H,B,Jake,Tackles,,none,,,,,
2026-05-21,25:55:00,1H,B,Alberto,Off Target,,none,,,,,
2026-05-21,25:55:00,1H,A,Lach2,Blocks,,none,,,,,
2026-05-21,25:56:00,1H,A,Richard,GK Saves,,none,,,,,
2026-05-21,26:10:00,1H,B,Jake,Interceptions,,none,,,,,
2026-05-21,26:13:00,1H,A,Lach2,Tackles,,none,,,,,
2026-05-21,26:14:00,1H,A,Lach2,Off Target,,none,,,,,
2026-05-21,26:27:00,1H,A,Gio,Tackles,,none,,,,,
2026-05-21,26:45:00,1H,B,Andres,GK Removed,,,,,,,
2026-05-21,26:45:00,1H,B,Lachlan,GK On,,,,,,,
2026-05-21,26:50:00,1H,B,Andres,Interceptions,,none,,,,,
2026-05-21,26:56:00,1H,A,Gio,Nutmegs,,none,,,,,
2026-05-21,26:59:00,1H,B,Andres,Interceptions,,none,,,,,
2026-05-21,27:13:00,1H,B,Bailey,Interceptions,,none,,,,,
2026-05-21,28:07:00,1H,B,Andres,Tackles,,none,,,,,
2026-05-21,28:09:00,1H,B,Jake,Off Target,,none,,,,,
2026-05-21,28:09:00,1H,B,Jake,Post,,none,,,,,
2026-05-21,28:20:00,1H,A,James,Goals,Lach2,highlight,none,0.618,0.9,0.299,0.876
2026-05-21,28:56:00,1H,B,Andres,Off Target,,none,,,,,
2026-05-21,29:19:00,1H,A,Lach2,Tackles,,none,,,,,
2026-05-21,29:24:00,1H,B,Lachlan,Tackles,,none,,,,,
2026-05-21,29:34:00,1H,B,Bailey,Key Passes,,none,,,,,
2026-05-21,29:55:00,1H,B,Alberto,Tackles,,none,,,,,
2026-05-21,30:06:00,1H,A,Ines,Tackles,,none,,,,,
2026-05-21,30:08:00,1H,B,Bailey,Tackles,,none,,,,,
2026-05-21,30:26.2,1H,B,Andres,Interceptions,,none,,,,,
2026-05-21,30:29.6,1H,B,Andres,Off Target,,none,,,,,
2026-05-21,30:33.6,1H,B,Bailey,Key Passes,,none,,,,,
2026-05-21,30:34.3,1H,B,Andres,Off Target,,none,,,,,
2026-05-21,30:34.3,1H,B,Andres,Post,,none,,,,,
2026-05-21,30:42.4,1H,A,Lach2,Tackles,,none,,,,,
2026-05-21,30:51.3,1H,B,Alberto,Tackles,,none,,,,,
2026-05-21,30:51.8,1H,A,Gio,Interceptions,,none,,,,,
2026-05-21,30:56.3,1H,B,Bailey,Interceptions,,none,,,,,
2026-05-21,31:11.7,1H,A,Richard,GK Saves,,none,,,,,
2026-05-21,31:18.0,1H,B,Jake,Tackles,,none,,,,,
2026-05-21,31:25.8,1H,A,Gio,Goals,James,none,none,0.807,0.685,0.88,0.907
2026-05-21,31:53.9,2H,A,Alberto,Team Swap,Alberto: B → A,none,,,,,
2026-05-21,31:53.9,2H,B,James,Team Swap,James: A → B,none,,,,,
2026-05-21,31:55.7,2H,A,Richard,GK Removed,,,,,,,
2026-05-21,31:55.7,2H,A,Ines,GK On,,,,,,,
2026-05-21,31:55.7,2H,B,Lachlan,GK Removed,,,,,,,
2026-05-21,31:55.7,2H,B,Jake,GK On,,,,,,,
2026-05-21,32:04.0,2H,A,Alberto,Interceptions,,none,,,,,
2026-05-21,32:12.4,2H,A,Richard,Interceptions,,none,,,,,
2026-05-21,32:16.0,2H,B,Bailey,Nutmegs,,none,,,,,
2026-05-21,32:17.9,2H,A,Gio,Tackles,,none,,,,,
2026-05-21,32:24.5,2H,B,James,Key Passes,,none,,,,,
2026-05-21,32:26.7,2H,B,Andres,Off Target,,none,,,,,
2026-05-21,32:32.2,2H,A,Lach2,Interceptions,,none,,,,,
2026-05-21,32:37.7,2H,B,Andres,Interceptions,,none,,,,,
2026-05-21,32:40.2,2H,B,Andres,Nutmegs,,none,,,,,
2026-05-21,33:13.7,2H,A,Lach2,On Target,,none,,,,,
2026-05-21,33:14.0,2H,B,Jake,GK Saves,,none,,,,,
2026-05-21,33:15.0,2H,A,Lach2,Goals,Alberto,none,highlight,0.83,0.273,0.834,0.784
2026-05-21,33:32.0,2H,A,Richard,Interceptions,,none,,,,,
2026-05-21,33:34.7,2H,A,Richard,Interceptions,,none,,,,,
2026-05-21,33:38.6,2H,A,Richard,Key Passes,,none,,,,,
2026-05-21,33:40.8,2H,A,Alberto,Off Target,,none,,,,,
2026-05-21,33:44.5,2H,B,Jake,Key Passes,,none,,,,,
2026-05-21,33:47.5,2H,B,Andres,On Target,,none,,,,,
2026-05-21,33:47.6,2H,B,Andres,Nutmegs,,none,,,,,
2026-05-21,33:47.6,2H,A,Ines,GK Saves,,none,,,,,
2026-05-21,33:57.5,2H,B,Bailey,On Target,,none,,,,,
2026-05-21,33:57.9,2H,A,Ines,GK Saves,,none,,,,,
2026-05-21,34:00.8,2H,A,Richard,Interceptions,,none,,,,,
2026-05-21,34:03.6,2H,B,Bailey,Interceptions,,none,,,,,
2026-05-21,34:04.1,2H,A,Gio,Tackles,,none,,,,,
2026-05-21,34:36.2,2H,A,Lach2,Interceptions,,none,,,,,
2026-05-21,34:39.6,2H,A,Lach2,Tackles,,none,,,,,
2026-05-21,34:42.1,2H,A,Ines,Key Passes,,none,,,,,
2026-05-21,34:46.6,2H,A,Gio,On Target,,none,,,,,
2026-05-21,34:46.8,2H,B,Jake,GK Saves,,none,,,,,
2026-05-21,34:50.1,2H,A,Lach2,Interceptions,,none,,,,,
2026-05-21,34:54.6,2H,B,James,Interceptions,,none,,,,,
2026-05-21,34:59.2,2H,A,Alberto,Key Passes,,none,,,,,
2026-05-21,35:08.1,2H,B,Bailey,Key Passes,,none,,,,,
2026-05-21,35:09.1,2H,B,Andres,On Target,,none,,,,,
2026-05-21,35:09.4,2H,A,Ines,GK Saves,,none,,,,,
2026-05-21,35:11.1,2H,B,Andres,Off Target,,none,,,,,
2026-05-21,35:21.3,2H,B,James,Interceptions,,none,,,,,
2026-05-21,35:22.6,2H,A,Ines,Interceptions,,none,,,,,
2026-05-21,35:29.0,2H,A,Richard,Key Passes,,none,,,,,
2026-05-21,35:31.1,2H,A,Lach2,Off Target,,none,,,,,
2026-05-21,35:31.1,2H,A,Lach2,Post,,none,,,,,
2026-05-21,35:48.6,2H,B,Lachlan,On Target,,none,,,,,
2026-05-21,35:48.7,2H,A,Richard,Blocks,,none,,,,,
2026-05-21,35:59.4,2H,B,Jake,GK Removed,,,,,,,
2026-05-21,35:59.4,2H,B,James,GK On,,,,,,,
2026-05-21,36:02.2,2H,B,Lachlan,Interceptions,,none,,,,,
2026-05-21,36:04.7,2H,B,Lachlan,On Target,,none,,,,,
2026-05-21,36:04.8,2H,B,Lachlan,Nutmegs,,none,,,,,
2026-05-21,36:05.1,2H,A,Ines,GK Saves,,none,,,,,
2026-05-21,36:18.9,2H,A,Lach2,Key Passes,,none,,,,,
2026-05-21,36:22.1,2H,A,Richard,Off Target,,none,,,,,
2026-05-21,36:22.1,2H,A,Richard,Nutmegs,,none,,,,,
2026-05-21,36:28.5,2H,A,Richard,Interceptions,,none,,,,,
2026-05-21,36:31.3,2H,B,Jake,Key Passes,,none,,,,,
2026-05-21,36:32.6,2H,B,Andres,Off Target,,none,,,,,
2026-05-21,36:39.9,2H,A,Alberto,On Target,,none,,,,,
2026-05-21,36:39.9,2H,A,Alberto,Goals,,none,none,0.819,0.26,,
2026-05-21,37:01.9,2H,B,Andres,Goals,Lachlan,none,none,0.791,0.172,0.604,0.109
2026-05-21,37:09.3,2H,A,Ines,GK Removed,,,,,,,
2026-05-21,37:09.3,2H,A,Alberto,GK On,,,,,,,
2026-05-21,37:24.7,2H,A,Richard,Interceptions,,none,,,,,
2026-05-21,37:26.6,2H,B,Jake,Interceptions,,none,,,,,
2026-05-21,37:29.4,2H,B,Andres,Interceptions,,none,,,,,
2026-05-21,37:32.6,2H,B,Bailey,Key Passes,,none,,,,,
2026-05-21,37:33.7,2H,B,Lachlan,Off Target,,none,,,,,
2026-05-21,37:33.7,2H,B,Lachlan,Post,,none,,,,,
2026-05-21,37:43.7,2H,B,Andres,Off Target,,none,,,,,
2026-05-21,37:46.6,2H,B,Jake,On Target,,none,,,,,
2026-05-21,37:46.6,2H,A,Lach2,Blocks,,none,,,,,
2026-05-21,37:52.0,2H,B,Jake,Interceptions,,none,,,,,
2026-05-21,37:54.1,2H,B,Lachlan,Key Passes,,none,,,,,
2026-05-21,37:55.7,2H,B,Bailey,On Target,,none,,,,,
2026-05-21,37:56.1,2H,A,Alberto,GK Saves,,none,,,,,
2026-05-21,37:56.8,2H,A,Richard,Interceptions,,none,,,,,
2026-05-21,38:19.9,2H,B,Jake,Tackles,,none,,,,,
2026-05-21,38:27.5,2H,A,Ines,Interceptions,,none,,,,,
2026-05-21,38:30.4,2H,A,Lach2,On Target,,none,,,,,
2026-05-21,38:30.7,2H,B,Jake,Blocks,,none,,,,,
2026-05-21,38:33.3,2H,A,Lach2,On Target,,none,,,,,
2026-05-21,38:33.5,2H,B,James,GK Saves,,none,,,,,
